,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
9026,1.0,1.0,52.35851,4.91106,2.0,1.0,1.0,0.0,153.0,1.0,365,1.0,1.0,365,365.0,1.0,365.0,2.0,2.0,2,9,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,0.0,1.0
9027,1.0,1.0,52.3691772,4.8687283,2.0,1.0,1.0,0.0,198.0,28.0,30,28.0,28.0,30,30.0,28.0,30.0,10.0,40.0,62,97,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9028,1.0,1.0,52.35402523817784,4.9192869127000565,2.0,1.0,1.0,1.0,165.0,7.0,30,7.0,7.0,30,30.0,7.0,30.0,22.0,51.0,81,356,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9029,1.0,1.0,52.38471,4.86915,2.0,1.0,1.0,0.0,255.0,3.0,14,3.0,3.0,14,14.0,3.0,14.0,22.0,36.0,66,247,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9030,1.0,1.0,52.349542000199264,4.855717861695948,2.0,1.0,1.0,1.0,260.0,3.0,14,2.0,3.0,14,14.0,3.0,14.0,2.0,2.0,14,69,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9031,1.0,1.0,52.35643,4.90764,4.0,1.0,1.0,0.0,248.0,2.0,365,2.0,5.0,365,365.0,2.2,365.0,1.0,9.0,10,20,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,2.43
9032,1.0,1.0,52.37875985859276,4.87555206104668,2.0,1.0,1.0,1.0,240.0,3.0,365,3.0,3.0,365,365.0,3.0,365.0,7.0,23.0,41,188,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,2.43
9033,1.0,1.0,52.37828725865324,4.881582908691165,4.0,1.0,1.0,0.0,450.0,2.0,365,2.0,2.0,365,365.0,2.0,365.0,10.0,31.0,49,130,2.0,2.0,1.0,4.5,5.0,5.0,5.0,5.0,5.0,4.5,1.0,1.0,0.0,0.0,1.87
9034,1.0,1.0,52.3754968,4.8755847,3.0,1.0,1.0,0.0,450.0,3.0,365,2.0,3.0,365,365.0,2.7,365.0,0.0,0.0,0,0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9035,1.0,1.0,52.37027050431337,4.871642049889197,2.0,1.0,1.0,1.0,300.0,1.0,365,1.0,3.0,365,365.0,1.2,365.0,3.4,57.0,87,267,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9036,1.0,1.0,52.360387,4.893632,2.0,1.0,1.0,0.0,200.0,3.0,30,3.0,3.0,30,30.0,3.0,30.0,0.0,8.0,15,15,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9037,1.0,1.0,52.37996,4.85447,2.0,1.0,1.0,0.0,226.0,3.0,14,1.0,3.0,14,14.0,3.0,14.0,0.0,0.0,6,6,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.58
9038,1.0,1.0,52.37302771097735,4.87441285554049,4.0,1.0,2.0,0.0,310.0,3.0,30,3.0,3.0,30,30.0,3.0,30.0,0.0,0.0,14,14,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.58
9039,1.0,1.0,52.38537725309469,4.869407306718594,4.0,1.5,2.0,3.0,275.0,3.0,15,1.0,3.0,15,15.0,3.0,15.0,0.0,12.0,24,24,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9040,3.0,3.0,52.32630959999999,4.8599154,2.0,1.0,1.0,1.0,139.0,1.0,365,1.0,1.0,365,365.0,1.0,365.0,3.4,37.0,67,247,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,0.0,1.0
9041,1.0,1.0,52.35437,4.87332,2.0,1.0,1.0,0.0,191.0,1.0,365,1.0,1.0,365,365.0,1.0,365.0,6.0,36.0,62,84,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,0.0,2.0
9042,39.0,67.0,52.37968190092271,4.8916868271130145,2.0,1.0,1.0,1.0,140.0,1.0,1125,1.0,3.0,3,1125.0,1.2,981.2,23.0,44.0,44,44,5.0,5.0,4.0,4.6,4.75,4.75,4.75,5.0,4.75,4.0,1.4,0.9,5.0,0.0,4.05
9043,3.0,3.0,52.38330996159561,4.885251521257455,4.0,2.0,2.0,3.0,451.0,2.0,365,2.0,2.0,1125,1125.0,2.0,1125.0,14.0,37.0,65,333,0.0,0.0,0.0,4.6,4.75,4.75,4.75,5.0,4.75,4.0,3.0,0.0,3.0,0.0,4.05
9044,39.0,67.0,52.37907957630161,4.8932911160241845,2.0,1.0,1.0,1.0,135.0,1.0,1125,1.0,3.0,2,1125.0,1.1,1078.0,8.0,8.0,8,8,5.0,5.0,3.0,4.4,5.0,4.2,4.8,5.0,5.0,4.6,1.4,0.9,5.0,0.0,3.66
9045,1.0,1.0,52.36815922386559,4.857859599444824,2.0,1.0,1.0,1.0,215.0,3.0,365,3.0,3.0,365,365.0,3.0,365.0,0.0,0.0,7,70,0.0,0.0,0.0,4.4,5.0,4.2,4.8,5.0,5.0,4.6,1.0,1.0,0.0,0.0,3.66
9046,1.0,1.0,52.3451853086566,4.893084987061473,2.0,1.0,1.0,1.0,274.0,3.0,5,2.0,3.0,5,5.0,2.6,5.0,7.0,31.0,41,45,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,2.37
9047,1.0,4.0,52.381687,4.8727838,3.0,1.0,2.0,0.0,244.0,2.0,7,2.0,3.0,7,7.0,2.4,7.0,19.0,19.0,19,67,3.0,3.0,3.0,4.67,4.67,4.67,5.0,4.67,4.8,4.67,1.0,1.0,0.0,0.0,3.0
9048,4.0,4.0,52.35113311413795,4.9,4.0,1.5,2.0,2.0,172.0,2.0,365,2.0,2.0,365,365.0,2.0,365.0,5.0,5.0,5,5,5.0,5.0,3.0,4.8,4.6,4.8,4.8,4.8,4.2,4.8,4.0,2.0,2.0,0.0,3.85
9049,1.0,1.0,52.38279379999999,4.8835038,4.0,1.5,3.0,2.0,172.0,3.0,25,3.0,3.0,25,25.0,3.0,25.0,0.0,15.0,37,37,0.0,0.0,0.0,4.8,4.6,4.8,4.8,4.8,4.2,4.8,1.0,1.0,0.0,0.0,3.85
9050,2.1,3.0,52.35297943071435,4.942175615513066,4.0,1.5,3.0,4.0,301.0,3.0,30,3.0,3.0,30,30.0,3.0,30.0,0.0,14.0,26,26,0.0,0.0,0.0,4.8,4.6,4.8,4.8,4.8,4.2,4.8,1.4,0.9,3.0,0.0,3.85
9051,1.0,3.0,52.37019432156189,4.850809528889053,2.0,1.0,1.0,0.0,211.0,1.0,30,1.0,1.0,30,30.0,1.0,30.0,15.0,21.0,38,42,3.0,3.0,2.0,5.0,5.0,5.0,5.0,4.67,4.33,4.67,1.0,1.0,0.0,0.0,2.81
9052,1.0,1.0,52.38164438123076,4.867932758324209,2.0,1.0,1.0,1.0,225.0,3.0,30,3.0,3.0,30,30.0,3.0,30.0,0.0,0.0,21,21,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.67,4.33,4.67,1.0,1.0,0.0,0.0,2.81
9053,1.0,1.0,52.3710280050075,4.848754964768887,2.0,1.5,1.0,1.0,236.0,3.0,27,3.0,3.0,27,27.0,3.0,27.0,3.4,56.0,86,176,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9054,1.0,1.0,52.342465585057965,4.8968963681748425,2.0,1.0,1.0,0.0,280.0,1.0,365,1.0,1.0,365,365.0,1.0,365.0,18.0,48.0,78,258,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9055,1.0,1.0,52.3672208,4.8495737,4.0,1.0,3.0,2.0,200.0,3.0,27,3.0,3.0,27,27.0,3.0,27.0,0.0,9.0,26,26,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9056,1.0,1.0,52.3714877,4.8701755,2.0,1.0,1.0,1.0,230.0,2.0,365,2.0,3.0,365,365.0,2.0,365.0,2.0,2.0,2,39,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0
9057,1.0,1.0,52.3633056,4.9188412,2.0,1.0,1.0,0.0,201.0,4.0,365,2.0,4.0,365,365.0,4.0,365.0,7.0,13.0,17,17,1.0,1.0,1.0,5.0,5.0,4.0,4.9,5.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0
9058,1.0,1.0,52.36401,4.903042999999999,2.0,1.0,1.0,0.0,280.0,7.0,40,7.0,7.0,40,40.0,7.0,40.0,5.0,21.0,21,21,0.0,0.0,0.0,5.0,5.0,4.0,4.9,5.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0
